question,answer,confidence_score,verbal_confidence
Mossel Bay is a harbour town which lies on the coast of which African country?,south africa,0.8409876499870369,I am likely correct
In which children's TV series does Shaggy appear?,scooby doo,0.7628502555906584,I am likely correct
What is the US state capital of Alabama?,montgomery,0.8154737129722658,I am likely correct
In which river is the Boulder Dam?,colorado,0.8499792902347425,I am likely correct
Which country scored the first goal in the 2010 World Cup tournament?,south africa,0.7661950884259506,I am likely correct
"Which Italian sauce for pasta contains tomato, black olives, capers, anchovies and red peppers? The name translates as 'whore’s style'?",puttanesca,0.8285847705465663,I am likely correct
What was the name of Roland Rat's gerbil friend?,kevin,0.7162808963291794,I think this is correct
“Scandicrime” drama The Bridge is mainly set in Copenhagen and in which Swedish city?,malmö,0.7355499747229842,I think this is correct
"In a nonsense poem by Lewis Carroll for what were a crew of ten led by a bellman and including a butcher, a baker and a billiard-marker hunting?",snark,0.6828266729257649,I think this is correct
Give the title of the first UK No 1 hit single of the group 'Take That'?,pray,0.608216211312043,I think this is correct
What is the study of armorial bearings called,heraldry,0.8238597027835793,I am likely correct
What is a Flemish Giant?,rabbit,0.8035259817586587,I am likely correct
The composer Peter Warlock was the father of which art critic?,brian sewell,0.6680641258928205,I think this is correct
"""Which tree produces red fruits called """"haws""""?""",may,0.8275336674177943,I am likely correct
What is a commmon name for the United Nations peacekeeping forces?,blue berets,0.8239020222201883,I am likely correct
In the church calendar what name is given to the three days before Ascension Day?,rogation days,0.7701423178151597,I am likely correct
What swirly pattern is named after the administrative central town of Renfrewshire in Scotland?,paisley,0.816077699592505,I am likely correct
Who married Heidi Klum in May 2005?,seal,0.6568187230381043,I think this is correct
Actress and writer Dulcie Gray was married to whom?,michael denison,0.6925910753234735,I think this is correct
"Fleurie, Morgon and Brouilly are wines from which French wine region?",beaujolais,0.85522435751038,I am likely correct
"In 1968, who did radical feminist Valerie Solanas shoot and wound as he entered his New York studio?",andy warhol,0.6466963477415794,I think this is correct
"Which 'literary' nickname has been given to the extinct species of man, discovered in Indonesia 2003, named Homo Floresiensis?",hobbits,0.8026342461781887,I am likely correct
In which Italian city is the newspaper 'La Stampa' published?,turin,0.7895117760310183,I am likely correct
Who wrote the operas Oedipus Rex and The Rake's Progress?,igor stravinsky,0.7985653446819163,I am likely correct
What name for a temple derives from the ancient Greek meaning 'to all gods' ?,pantheon,0.7006587618011185,I think this is correct
What was the Beatles first film,hard day s night,0.7303083445409978,I think this is correct
What was Amy Williams sled called on which she won Olympic gold for Britain at Vancouver in the Skeleton event?,arthur,0.7447662782758038,I think this is correct
What is the name for mammals born incompletely developed and carried and suckled in a pouch on the mother's belly?,marsupials,0.7987770587536913,I am likely correct
In which county is Dunstanburgh Castle?,northumberland,0.847616099639404,I am likely correct
Who did Joe Louis beat to take the world heavyweight boxing title in 1937?,james braddock,0.9089607260085931,I am certain
Which mediaeval author wrote The Canterbury Tales,geoffrey chaucer,0.7691041142483022,I am likely correct
Whose beagle buddy is 'Snoopy'?,woodstock,0.8089380570617289,I am likely correct
"""Who painted """"Girl before a Mirror"""" ?""",pablo picasso,0.7617648841676806,I am likely correct
Which word begining with V describes the type of image formed when light is reflected from a plane mirror?,virtual,0.8580945653313647,I am likely correct
In popular music how is Paul Hewson better known?,bono,0.7339928887706224,I think this is correct
Which baseball team won the World Series in 2011?,st louis cardinals,0.7041096916035893,I think this is correct
"In Greek mythology, Heracles' Twelfth Labour (final) was to capture which creature?",cerberus,0.7029278419326662,I think this is correct
How many noble gases are there?,six,0.8912740595396159,I am likely correct
"Saint Augustine, the oldest city in the USA, is in which state?",florida,0.8008760466095206,I am likely correct
Eugne Arnold Dolmetsch (1858-1940) is seen as largely responsible for promoting what for use in schools?,recorder,0.6054547654244802,I think this is correct
What is the capital of the American state of Nevada?,carson city,0.9100457885142704,I am certain
What is the state capital of Alabama,montgomery,0.7960491773901789,I am likely correct
Ari Folman's acclaimed 2008 film was 'Waltz with...' whom?,bashir,0.7808929015489832,I am likely correct
The 66 mile long Shropshire Union Canal links the city of Wolverhampton to which town situated in Cheshire?,ellesmere port,0.7662698379397488,I am likely correct
‘Corylus’ is the Latin name for which plant?,hazel,0.8104470499277652,I am likely correct
What well-known mountain pass connects Pakistan and Afghanistan?,khyber pass,0.8155728814570503,I am likely correct
What was the name of the American World War 11 bomber designated the B24,liberator,0.8204938145176552,I am likely correct
Which guitar innovator and player has a range of Gibson Guitars named after him?,les paul,0.7736388245953673,I am likely correct
What was the more famous two word name of American singer and ukele player who had the real name Herbert Khaury. In 1968 he released a classic version of a popular song which he sang in a high pitched voice?,tiny tim,0.6131713260522111,I think this is correct
"Which bodybuilding competition, first held in 1965, was created by Joe Weider to enable Mr Universe winners to continue competing and to earn money?",mr olympia,0.7252796439189726,I think this is correct
Which metal is added to steel to produce stainless steel?,chromium,0.7992839661793604,I am likely correct
"""What winter sport that combines cross-country skiing and rifle shooting was called """"military patrol"""" when it was contested at the Olympic Winter Games in 1924, and demonstrated in 1928, 1936, and 1948?""",biathlon,0.6832995652791187,I think this is correct
"Which  constellation contains many bright shining stars, such as Regulus?",leo,0.7768685285133402,I am likely correct
"Who was the deviser, producer and director 'That Was The Week That Was'?",ned sherrin,0.7640956924786124,I am likely correct
Who wrote the book 'Elmer Gantry'?,sinclair lewis,0.751187147739052,I am likely correct
The top American fiction bestseller in both 1936 and 1937 was the only novel published during the lifetime of its author. Who was she?,margaret mitchell,0.5836224898450123,I am unsure
"A spoof of fraternal organizations such as the Masons, Shriners, Elks Club, or Moose Lodge, of what lodge was Fred Flintstone elected Grand Imperial Poobah?",loyal order of water buffalo,0.6980992795603831,I think this is correct
English economist and physician Nicholas Barbon helped to pioneer which type of insurance in 1666?,fire insurance,0.6530403738418858,I think this is correct
What is the American word for a short-hand typist?,stenographer,0.8496325930840694,I am likely correct
Wookey Hole is part of which range of hills?,mendips,0.8040193148852596,I am likely correct
Who was the youngest brother in the Beach Boys?,carl wilson,0.8103711782512495,I am likely correct
"""How many people made up the English pop rock group """"Tears For Fears""""?""",2,0.7536572248564334,I am likely correct
Las Vegas is situated in which US State?,nevada,0.8609885577601076,I am likely correct
"According to the Old Testament, who was the wife of Abraham and the mother of Isaac ?",sarah,0.7690116938316711,I am likely correct
Cagliari is the capital of which island?,sardinia,0.8247720513779052,I am likely correct
In which book of the Old Testament does the destruction of the walls of Jericho occur?,joshua,0.8305925604862865,I am likely correct
Flemish is almost identical in form to which other language ?,dutch,0.8041919501053935,I am likely correct
"The 1997 transfer of Hong Kong from Great Britain to China is well-known. But in 1999, which country similarly relinquished its claim on Macau also handing it over to China?",portugal,0.7343942180370124,I think this is correct
"Who conceived the effective communication theory 'Three Modes of Persuasion' (comprising Logos, Ethos and Pathos)?",aristotle,0.7894179062092022,I am likely correct
Who directed the Death Wish series of films,michael winner,0.7595897313982247,I am likely correct
Who became the first Prime Minister of an independent Bangladesh in January 1972?,sheikh mujibur rahman,0.6397434787776891,I think this is correct
"The Treaty of Fontainebleau, signed on 11 April 1814 by representatives of France, Austria, Hungary, Bohemia, Russia, and Prussia, had a marked effect on the personal life of whom?",napoleon bonaparte,0.7812951831434423,I am likely correct
What is the currency of Israel?,shekel,0.7861506056535276,I am likely correct
"Which singer picked up three Ivor Novello awards in May, including songwriter of the year for her hit single, The Fear?",lily allen,0.5482085664562539,I am unsure
In which year did Reference Point win the Derby and Maori Venture win the Grand National?,1987,0.8092346315863752,I am likely correct
In which street did the Great Fire of London originate,pudding lane,0.8430683047330975,I am likely correct
"Which county shares borders with Northumberland, County Durham, North Yorkshire and Lancashire?",cumbria,0.814963790590886,I am likely correct
"Which philosopher, 1872 - 1970, co-wrote 'Principia Mathematica' with A.N. Whitehead?",bertrand russell,0.6234756679678984,I think this is correct
"Willow, Reed, Grasshopper, and Dartford are species of which bird?",warblers,0.797102490792698,I am likely correct
"The trade union Unison was formed by a merger of NALGO, NUPE and which other union?",cohse,0.7643638343668097,I am likely correct
The age of the railway began in which year with the introduction of the Liverpool-Manchester line?,1830,0.773925405917684,I am likely correct
"Which of the four acting McGann brothers is missing from Mark, Stephen, Joe and .....?",paul,0.7580599201718721,I am likely correct
Sofia Helin returned on BBC4 in the third series of which Scandinavian drama?,bridge,0.6747606853608339,I think this is correct
Which golf club is designed to hit the ball the furthest distance?,driver,0.8295455445338173,I am likely correct
"X-Factor winner Joe McElderry failed to reach no 1 in the Christmas 2009 chart, which group did as a result of a concerted internet download campaign?",rage against machine,0.6533453193139712,I think this is correct
Which South American city is served by Simon Bolivar (Maiguetia) airport?,caracas,0.7280166190795674,I think this is correct
'The Great American Chocolate Bar' is eponymously better known as 'the (What?) bar'?,hershey,0.710265628762522,I think this is correct
What was the capital of the Confederacy in the American Civil War?,richmond,0.8575650907547411,I am likely correct
"After watching US president Barack Obama giving a speech, David Letterman commented that it was nice to have a president who could pronounce which word?",nuclear,0.6981712317213039,I think this is correct
Which US president controversially granted Nixon a full pardon over the Watergate scandal?,gerald ford,0.795170140187113,I am likely correct
Who was the suffragette killed during the 1913 Derby?,emily davison,0.7553098783673556,I am likely correct
Where is the strait of Strelasund?,baltic sea,0.7991295907985788,I am likely correct
Which famous fishing town of east Scotland lies roughly half-way between Montrose and Dundee?,arbroath,0.6624874961349293,I think this is correct
"Used as an alloy in making high-speed cutting tools, mo is the symbol for what silver-white metallic element?",molybdenum,0.741451807502709,I think this is correct
The line 'The mirror crack'd from side to side' comes from which poem?,lady of shallot,0.6908152258706486,I think this is correct
"""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""",ephemeral,0.5971537912189674,I am unsure
The Zodiac sign 'Libra' belongs to which element?,air,0.8134285114217817,I am likely correct
Whose gang travel around in the Mystery Machine?,scooby doo s,0.6936909627487143,I think this is correct
The Song of Simeon canticle is also known by which Latin name?,nunc dimittis,0.731857708855952,I think this is correct
What part of the human body is known by doctors as the pollex?,thumb,0.7910184316359181,I am likely correct
